Commodity,Attribute,Country,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
,,Philippines,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,6.0,4.0,4.0,1.0,26.0,37.0,29.0,25.0,37.0,59.0,84.0,78.0,54.0,54.0,43.0,34.0,18.0,50.0,(1000 MT)
,,Poland,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4,1,5,5,1,1,1,3,10,11,10,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Portugal,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Russia,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,9.0,11.0,23.0,43.0,39.0,54.0,76.0,55.0,45.0,32.0,40.0,55.0,60.0,48.0,52.0,48.0,52.0,62.0,70.0,91.0,70.0,83.0,85.0,(1000 MT)
,,Saudi Arabia,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2,1,1,2,1,1,2,2,2,8,13,20,20,20.0,20.0,20.0,20.0,17.0,17.0,20.0,20.0,17.0,12.0,10.0,8.0,6.0,5.0,6.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,14.0,44.0,30.0,18.0,26.0,38.0,46.0,10.0,14.0,15.0,30.0,(1000 MT)
,,Sierra Leone,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Singapore,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,3,3,7,10,9,12,7,12,14,14,9,8,19,21,34,22,30,30,40.0,40.0,40.0,40.0,35.0,30.0,21.0,13.0,30.0,11.0,12.0,35.0,42.0,39.0,27.0,31.0,8.0,5.0,22.0,17.0,10.0,6.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,(1000 MT)
,,South Africa,0,0,0,3.0,2.0,3.0,2.0,0.0,2,3,3,3,4,4,3,4,6,8,8,9,12,20,7,8,25,25,15,28,33.0,49.0,60.0,35.0,33.0,33.0,35.0,40.0,35.0,33.0,37.0,26.0,31.0,38.0,35.0,38.0,38.0,33.0,39.0,33.0,37.0,31.0,36.0,32.0,36.0,33.0,34.0,29.0,34.0,34.0,34.0,34.0,26.0,34.0,29.0,(1000 MT)
,,Spain,0,0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,2,4,4,8,9,8,10,9,12,11,11,16,13,16,19,17,18,18.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Sweden,0,0,0,2.0,1.0,1.0,1.0,1.0,1,1,1,0,1,0,0,3,3,4,4,5,1,1,2,3,1,1,4,4,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
