Commodity,Attribute,Country,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
"Oil, Cottonseed",Crush,Albania,0,0,0,11,11,11.0,11.0,11.0,13,13.0,13.0,13.0,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Algeria,0,0,0,0,1,1.0,1.0,1.0,1,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Argentina,0,0,0,248,154,151.0,220.0,200.0,286,240.0,285.0,385.0,330,260.0,135.0,275.0,175.0,259.0,257.0,164.0,121.0,338.0,249.0,362.0,390.0,320.0,230.0,366.0,395.0,435.0,327.0,307.0,180.0,147.0,180.0,106.0,39.0,63.0,60.0,39.0,53.0,30.0,42.0,130.0,158.0,111.0,84.0,176.0,119.0,56.0,48.0,121.0,100.0,120.0,120.0,133.0,135.0,140.0,(1000 MT)
,,Armenia,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,30.0,30.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Australia,0,0,0,50,36,78.0,56.0,45.0,50,41.0,42.0,68.0,73,134.0,150.0,214.0,162.0,223.0,360.0,263.0,236.0,296.0,281.0,266.0,450.0,469.0,295.0,239.0,247.0,355.0,492.0,538.0,473.0,369.0,301.0,447.0,299.0,247.0,475.0,500.0,325.0,261.0,258.0,350.0,600.0,650.0,650.0,650.0,600.0,580.0,700.0,800.0,220.0,5.0,5.0,20.0,20.0,80.0,(1000 MT)
,,Austria,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Azerbaijan,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,53.0,42.0,44.0,52.0,55.0,71.0,70.0,59.0,35.0,15.0,15.0,20.0,30.0,22.0,22.0,20.0,45.0,95.0,150.0,170.0,180.0,145.0,160.0,170.0,(1000 MT)
,,Belgium-Luxembourg,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Benin,0,0,0,6,7,0.0,13.0,5.0,15,9.0,4.0,4.0,5,17.0,5.0,11.0,13.0,3.0,37.0,36.0,66.0,0.0,52.0,33.0,48.0,21.0,21.0,25.0,25.0,36.0,40.0,45.0,93.0,90.0,95.0,130.0,140.0,130.0,146.0,82.0,122.0,115.0,107.0,90.0,80.0,90.0,140.0,140.0,150.0,190.0,210.0,260.0,265.0,300.0,340.0,350.0,280.0,260.0,(1000 MT)
,,Brazil,0,0,0,1205,878,1129.0,1087.0,960.0,842,654.0,909.0,774.0,885,983.0,1056.0,1087.0,1121.0,909.0,1618.0,1000.0,920.0,1300.0,1000.0,960.0,930.0,970.0,560.0,640.0,765.0,565.0,390.0,580.0,677.0,965.0,1050.0,1225.0,1025.0,1000.0,1650.0,1700.0,1400.0,1950.0,2000.0,1650.0,1550.0,2575.0,2600.0,1700.0,2300.0,2100.0,1750.0,2100.0,2800.0,4050.0,4200.0,3500.0,3600.0,4500.0,(1000 MT)
