Commodity,Attribute,Country,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
,,Slovenia,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,1.0,3.0,11.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,South Africa,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,21.0,5.0,17.0,11.0,29.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,35.0,59.0,125.0,51.0,32.0,29.0,16.0,18.0,11.0,18.0,16.0,14.0,72.0,52.0,91.0,84.0,85.0,54.0,57.0,67.0,142.0,71.0,60.0,66.0,59.0,54.0,71.0,50.0,60.0,(1000 MT)
,,Spain,0,0,0,0,0,0,0,0,3.0,7.0,1.0,5.0,5.0,8.0,6.0,13.0,1.0,1.0,3.0,42,10.0,0.0,5.0,121.0,147.0,93.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Sweden,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Switzerland,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,(1000 MT)
,,Syria,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,8.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Taiwan,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Turkey,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1,5.0,20.0,33.0,38.0,74.0,99.0,88.0,182.0,73.0,122.0,167.0,65.0,65.0,122.0,85.0,62.0,4.0,1.0,29.0,16.0,22.0,99.0,34.0,54.0,131.0,68.0,157.0,271.0,288.0,588.0,644.0,613.0,685.0,418.0,496.0,715.0,639.0,889.0,1102.0,1125.0,(1000 MT)
,,Ukraine,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,60.0,105.0,115.0,105.0,150.0,120.0,100.0,150.0,200.0,209.0,180.0,205.0,430.0,550.0,308.0,911.0,978.0,642.0,1514.0,1867.0,1325.0,2098.0,2645.0,2652.0,3263.0,3245.0,4181.0,3872.0,4500.0,5851.0,5342.0,6063.0,6686.0,5273.0,4465.0,5683.0,5750.0,(1000 MT)
,,Union of Soviet Socialist Repu,0,0,0,0,0,0,0,0,342.0,481.0,388.0,293.0,231.0,148.0,113.0,123.0,112.0,109.0,90.0,90,90.0,136.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,United Kingdom,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,3.0,0.0,0.0,1,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,35.0,25.0,17.0,10.0,9.0,13.0,12.0,(1000 MT)
,,United States,0,0,0,0,0,0,0,0,26.0,8.0,7.0,48.0,15.0,34.0,41.0,86.0,301.0,103.0,229.0,188,130.0,205.0,156.0,319.0,212.0,159.0,163.0,239.0,266.0,204.0,444.0,285.0,322.0,370.0,363.0,286.0,247.0,205.0,51.0,107.0,57.0,95.0,77.0,77.0,91.0,98.0,38.0,19.0,28.0,37.0,29.0,39.0,32.0,40.0,55.0,40.0,45.0,56.0,33.0,39.0,(1000 MT)
