Commodity,Attribute,Country,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,Unit Description
,,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,142.0,156.0,147.0,118.0,117.0,112.0,107.0,103.0,85.0,88.0,91.0,77.0,76.0,74.0,81.0,73.0,76.0,74.0,73.0,68.0,68.0,67.0,54.0,57.0,(1000 MT)
,,Former Czechoslovakia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,France,249.0,225.0,214.0,307.0,256.0,222.0,251.0,263.0,193.0,215.0,206.0,173.0,138.0,126.0,127.0,137.0,103.0,100.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,"Gambia, The",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,17.0,15.0,17.0,17.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,7.0,5.0,4.0,1.0,0.0,2.0,4.0,3.0,3.0,(1000 MT)
,,German Democratic Republic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,"Germany, Federal Republic of",68.0,47.0,32.0,33.0,34.0,30.0,32.0,32.0,27.0,23.0,24.0,20.0,20.0,16.0,15.0,17.0,19.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Guatemala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,(1000 MT)
,,Guinea,3.0,3.0,3.0,3.0,3.0,4.0,4.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,8.0,7.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(1000 MT)
,,Hong Kong,0.0,0.0,0.0,0.0,0.0,21.0,24.0,27.0,27.0,25.0,31.0,30.0,30.0,28.0,31.0,25.0,27.0,28.0,26.0,17.0,17.0,24.0,25.0,24.0,22.0,25.0,9.0,14.0,11.0,16.0,11.0,11.0,13.0,11.0,11.0,10.0,10.0,9.0,8.0,8.0,8.0,7.0,9.0,10.0,10.0,11.0,11.0,12.0,11.0,12.0,11.0,12.0,(1000 MT)
,,India,1060.0,1241.0,1310.0,1506.0,1351.0,1371.0,1433.0,1339.0,1177.0,1535.0,1217.0,1528.0,1444.0,1201.0,1355.0,1359.0,2070.0,1877.0,1736.0,1650.0,2025.0,1765.0,1905.0,1695.0,2103.0,1749.0,1670.0,1248.0,1404.0,1846.0,1402.0,1685.0,1468.0,1520.0,1359.0,1526.0,1419.0,1205.0,1213.0,1219.0,1053.0,1237.0,970.0,860.0,1050.0,1080.0,1140.0,1150.0,1160.0,1185.0,1050.0,1050.0,(1000 MT)
